ho monitorato dal giorno : 2019-09-11 16:31:22
al giorno : 2019-09-19 09:35:23

nodi connessi invariati: lancio    percentuale      numero-peer-connessi 
###################################################################### 
  1   1.000000 %   24
  2   1.000000 %   24
  3   1.000000 %   24
  4   1.000000 %   24
  5   0.958333 %   24
  6   0.958333 %   23
  7   0.958333 %   23
  8   0.958333 %   24
  9   0.958333 %   24
  10   0.958333 %   24
  11   0.958333 %   24
  12   0.958333 %   23
  13   0.958333 %   23
  14   0.958333 %   24
  15   0.958333 %   23
  16   0.958333 %   23
  17   0.958333 %   24
  18   0.958333 %   24
  19   0.958333 %   24
  20   0.958333 %   24
  21   0.958333 %   24
  22   0.958333 %   24
  23   0.958333 %   24
  24   0.958333 %   24
  25   0.958333 %   24
  26   0.958333 %   23
  27   0.958333 %   24
  28   0.958333 %   24
  29   0.958333 %   23
  30   0.916667 %   23
  31   0.916667 %   24
  32   0.916667 %   23
  33   0.916667 %   23
  34   0.916667 %   24
  35   0.916667 %   23
  36   0.916667 %   23
  37   0.916667 %   23
  38   0.916667 %   24
  39   0.916667 %   24
  40   0.916667 %   23
  41   0.916667 %   23
  42   0.916667 %   23
  43   0.916667 %   23
  44   0.916667 %   24
  45   0.916667 %   24
  46   0.916667 %   24
  47   0.916667 %   24
  48   0.916667 %   24
  49   0.916667 %   24
  50   0.916667 %   24
  51   0.916667 %   24
  52   0.916667 %   24
  53   0.916667 %   24
  54   0.916667 %   24
  55   0.916667 %   24
  56   0.916667 %   24
  57   0.916667 %   24
  58   0.916667 %   24
  59   0.916667 %   24
  60   0.916667 %   24
  61   0.916667 %   24
  62   0.916667 %   24
  63   0.916667 %   24
  64   0.875000 %   24
  65   0.875000 %   24
  66   0.875000 %   24
  67   0.875000 %   24
  68   0.875000 %   24
  69   0.875000 %   24
  70   0.875000 %   24
  71   0.875000 %   24
  72   0.875000 %   24
  73   0.875000 %   24
  74   0.875000 %   24
  75   0.875000 %   24
  76   0.875000 %   24
  77   0.875000 %   24
  78   0.875000 %   24
  79   0.875000 %   24
  80   0.875000 %   24
  81   0.875000 %   24
  82   0.875000 %   24
  83   0.875000 %   24
  84   0.875000 %   24
  85   0.875000 %   24
  86   0.875000 %   24
  87   0.875000 %   24
